"cell_id","CGP.cell.line","CCLE.cell.line","CGP.tissue.type","CCLE.tissue.type","CGP.link","CCLE.link","tissue.type"
"1321N1",NA,"1321N1",NA,"central_nervous_system",NA,1,"central_nervous_system"
"143B",NA,"143B",NA,"bone",NA,2,"bone"
"22RV1","22RV1","22Rv1","prostate","prostate",1105,3,"prostate"
"23132-87","23132-87","23132/87",NA,"stomach",1079,4,"stomach"
"253J",NA,"253J",NA,"urinary_tract",NA,6,"urinary_tract"
"253J-BV",NA,"253J-BV",NA,"urinary_tract",NA,5,"urinary_tract"
"380","380",NA,"haematopoietic_and_lymphoid_tissue",NA,1106,NA,"haematopoietic_and_lymphoid_tissue"
"42-MG-BA",NA,"42-MG-BA",NA,"central_nervous_system",NA,7,"central_nervous_system"
"5637","5637","5637","urinary_tract","urinary_tract",431,8,"urinary_tract"
"59M",NA,"59M",NA,"ovary",NA,9,"ovary"
"639-V","639-V","639-V","urinary_tract","urinary_tract",683,10,"urinary_tract"
"647-V","647-V","647-V","urinary_tract","urinary_tract",682,11,"urinary_tract"
"697","697","697","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",684,12,"haematopoietic_and_lymphoid_tissue"
"769-P","769-P","769-P","kidney","kidney",1078,13,"kidney"
"786-0","786-0","786-O","kidney","kidney",625,14,"kidney"
"8305C",NA,"8305C",NA,"thyroid",NA,15,"thyroid"
"8505C","8505C","8505C","thyroid","thyroid",1107,16,"thyroid"
"8-MG-BA","8-MG-BA","8-MG-BA","central_nervous_system","central_nervous_system",439,17,"central_nervous_system"
"A101D","A101D","A101D","skin","skin",1077,18,"skin"
"A1207",NA,"A1207",NA,"central_nervous_system",NA,19,"central_nervous_system"
"A172","A172","A172","central_nervous_system","central_nervous_system",440,20,"central_nervous_system"
"A204","A204","A-204",NA,"soft_tissue",1056,21,"soft_tissue"
"A2058","A2058","A2058","skin","skin",678,22,"skin"
"A253","A253","A-253","salivary_gland","salivary_gland",680,23,"salivary_gland"
"A2780","A2780","A2780","ovary","ovary",687,24,"ovary"
"A375","A375","A-375","skin","skin",679,25,"skin"
"A3-KAW","A3-KAW","A3/KAW","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1088,26,"haematopoietic_and_lymphoid_tissue"
"A427","A427",NA,"lung",NA,1059,NA,"lung"
"A431","A431",NA,"skin",NA,1080,NA,"skin"
"A498","A498","A-498","kidney","kidney",626,27,"kidney"
"A4-Fuk","A4-Fuk",NA,"haematopoietic_and_lymphoid_tissue",NA,1087,NA,"haematopoietic_and_lymphoid_tissue"
"A4/Fuk",NA,"A4/Fuk",NA,"haematopoietic_and_lymphoid_tissue",NA,28,"haematopoietic_and_lymphoid_tissue"
"A549","A549","A549","lung","lung",627,29,"lung"
"A673","A673","A-673","bone","bone",423,30,"bone"
"A704","A704","A-704","kidney","kidney",1076,31,"kidney"
"ABC-1","ABC-1","ABC-1","lung","lung",677,32,"lung"
"ACC-MESO-1",NA,"ACC-MESO-1",NA,"pleura",NA,33,"pleura"
"ACHN","ACHN","ACHN","kidney","kidney",628,35,"kidney"
"ACN","ACN",NA,"autonomic_ganglia",NA,686,NA,"autonomic_ganglia"
"AGS","AGS","AGS","stomach","stomach",676,36,"stomach"
"Alexander cells",NA,"Alexander cells",NA,"liver",NA,37,"liver"
"ALL-PO","ALL-PO",NA,"haematopoietic_and_lymphoid_tissue",NA,1095,NA,"haematopoietic_and_lymphoid_tissue"
"ALL-SIL",NA,"ALL-SIL",NA,"haematopoietic_and_lymphoid_tissue",NA,38,"haematopoietic_and_lymphoid_tissue"
"AM-38","AM-38","AM-38","central_nervous_system","central_nervous_system",1086,39,"central_nervous_system"
"AML-193","AML-193","AML-193","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1180,40,"haematopoietic_and_lymphoid_tissue"
"AMO-1",NA,"AMO-1",NA,"haematopoietic_and_lymphoid_tissue",NA,41,"haematopoietic_and_lymphoid_tissue"
"AN3-CA","AN3-CA","AN3 CA","endometrium","endometrium",1054,42,"endometrium"
"ARH-77","ARH-77",NA,"haematopoietic_and_lymphoid_tissue",NA,675,NA,"haematopoietic_and_lymphoid_tissue"
"AsPC-1","AsPC-1","AsPC-1","pancreas","pancreas",1044,43,"pancreas"
"ATN-1","ATN-1",NA,"haematopoietic_and_lymphoid_tissue",NA,1032,NA,"haematopoietic_and_lymphoid_tissue"
"AU565",NA,"AU565",NA,"breast",NA,44,"breast"
"AZ-521",NA,"AZ-521",NA,"stomach",NA,45,"stomach"
"B2-17","B2-17",NA,NA,NA,NA,NA,"central_nervous_system"
"BALL-1","BALL-1",NA,"haematopoietic_and_lymphoid_tissue",NA,1047,NA,"haematopoietic_and_lymphoid_tissue"
"BB30-HNC","BB30-HNC",NA,"upper_aerodigestive_tract",NA,536,NA,"upper_aerodigestive_tract"
